fecha,Sucursal,bodega,dpto,tipo,venta_neta
2024-06-01,Barranquilla,4,1725,historico,41064272.0
2024-06-01,Barranquilla,4,25,historico,479768103.92
2024-06-01,Barranquilla,4,76,historico,37867538.0
2024-06-01,Barranquilla,4,80,historico,82180014.0
2024-06-01,Barranquilla,4,E,historico,344414049.40999997
2024-06-01,Cartagena,5,0605,historico,49383900.0
2024-06-01,Cartagena,5,07,historico,387763944.0
2024-06-01,Cartagena,5,1301,historico,16294351.0
2024-06-01,Cartagena,5,14,historico,38849628.0
2024-06-01,Cartagena,5,15,historico,98329020.0
2024-06-01,Cartagena,5,1725,historico,87411405.0
2024-06-01,Cartagena,5,25,historico,238953349.6
2024-06-01,Cartagena,5,76,historico,80937093.0
2024-06-01,Cartagena,5,80,historico,71158994.0
2024-06-01,Cartagena,5,E,historico,180947460.9
2024-07-01,Medellín,1,0605,historico,114609065.0
2024-07-01,Medellín,1,07,historico,1292754553.34
2024-07-01,Medellín,1,1301,historico,133820604.52
2024-07-01,Medellín,1,14,historico,65008304.0
2024-07-01,Medellín,1,15,historico,322828087.7
2024-07-01,Medellín,1,1725,historico,218462091.0
2024-07-01,Medellín,1,25,historico,539731126.05
2024-07-01,Medellín,1,76,historico,157947196.0
2024-07-01,Medellín,1,80,historico,311692451.44
2024-07-01,Medellín,1,E,historico,836751263.5
2024-07-01,Bogotá,2,0605,historico,281697729.17
2024-07-01,Bogotá,2,07,historico,1879750763.66
2024-07-01,Bogotá,2,1301,historico,119306346.0
2024-07-01,Bogotá,2,14,historico,130528292.0
2024-07-01,Bogotá,2,15,historico,395521045.0
2024-07-01,Bogotá,2,1725,historico,274690673.0
2024-07-01,Bogotá,2,25,historico,858281947.11
2024-07-01,Bogotá,2,76,historico,161387477.52
2024-07-01,Bogotá,2,80,historico,175871795.0
2024-07-01,Bogotá,2,E,historico,485824677.7
2024-07-01,Cali,3,0605,historico,96423231.0
2024-07-01,Cali,3,07,historico,570493759.87
2024-07-01,Cali,3,1301,historico,80925442.61
2024-07-01,Cali,3,14,historico,39930870.32
2024-07-01,Cali,3,15,historico,134246869.0
2024-07-01,Cali,3,1725,historico,227072419.0
2024-07-01,Cali,3,25,historico,344946729.16
2024-07-01,Cali,3,76,historico,133841313.0
2024-07-01,Cali,3,80,historico,243746650.0
2024-07-01,Cali,3,E,historico,240595105.8
2024-07-01,Barranquilla,4,0605,historico,37558729.0
2024-07-01,Barranquilla,4,07,historico,450693826.76
2024-07-01,Barranquilla,4,1301,historico,88220604.52
2024-07-01,Barranquilla,4,14,historico,172484462.44
2024-07-01,Barranquilla,4,15,historico,244588036.0
2024-07-01,Barranquilla,4,1725,historico,47327273.0
2024-07-01,Barranquilla,4,25,historico,374993148.3
2024-07-01,Barranquilla,4,76,historico,38438896.0
2024-07-01,Barranquilla,4,80,historico,117283878.0
2024-07-01,Barranquilla,4,E,historico,432404580.71
2024-07-01,Cartagena,5,0605,historico,52795993.0
2024-07-01,Cartagena,5,07,historico,543296132.0
2024-07-01,Cartagena,5,1301,historico,74283737.6
2024-07-01,Cartagena,5,14,historico,42570249.0
2024-07-01,Cartagena,5,15,historico,135500953.0
2024-07-01,Cartagena,5,1725,historico,88142004.2
2024-07-01,Cartagena,5,25,historico,176228133.8
2024-07-01,Cartagena,5,76,historico,46525433.0
2024-07-01,Cartagena,5,80,historico,118916231.0
2024-07-01,Cartagena,5,E,historico,313206881.08
2024-08-01,Medellín,1,0605,historico,162535266.0
2024-08-01,Medellín,1,07,historico,1155518125.06
2024-08-01,Medellín,1,1301,historico,360879601.0
2024-08-01,Medellín,1,14,historico,233047205.18
2024-08-01,Medellín,1,15,historico,336698032.2
2024-08-01,Medellín,1,1725,historico,206079245.0
2024-08-01,Medellín,1,25,historico,653628882.7
2024-08-01,Medellín,1,76,historico,125449683.0
2024-08-01,Medellín,1,80,historico,319316641.0
2024-08-01,Medellín,1,E,historico,989206859.51
2024-08-01,Bogotá,2,0605,historico,311244237.28
2024-08-01,Bogotá,2,07,historico,2092986086.58
2024-08-01,Bogotá,2,1301,historico,169894517.0
2024-08-01,Bogotá,2,14,historico,257429555.0
2024-08-01,Bogotá,2,15,historico,410211790.36
2024-08-01,Bogotá,2,1725,historico,385732927.0
2024-08-01,Bogotá,2,25,historico,859821955.58
2024-08-01,Bogotá,2,76,historico,164036528.0
2024-08-01,Bogotá,2,80,historico,170526071.0
2024-08-01,Bogotá,2,E,historico,462208525.22
2024-08-01,Cali,3,0605,historico,143490656.0
2024-08-01,Cali,3,07,historico,500808732.3
2024-08-01,Cali,3,1301,historico,67716377.01
2024-08-01,Cali,3,14,historico,59517289.32
2024-08-01,Cali,3,15,historico,169546181.0
2024-08-01,Cali,3,1725,historico,248529401.0
2024-08-01,Cali,3,25,historico,268139740.75
2024-08-01,Cali,3,76,historico,91578039.0
2024-08-01,Cali,3,80,historico,192478224.92000002
2024-08-01,Cali,3,E,historico,221356736.43
2024-08-01,Barranquilla,4,0605,historico,24326894.8
2024-08-01,Barranquilla,4,07,historico,445936612.44
2024-08-01,Barranquilla,4,1301,historico,89147847.0
2024-08-01,Barranquilla,4,14,historico,121620794.0
2024-08-01,Barranquilla,4,15,historico,311622778.0
2024-08-01,Barranquilla,4,1725,historico,86485795.0
2024-08-01,Barranquilla,4,25,historico,509790924.0
2024-08-01,Barranquilla,4,76,historico,45547698.0
2024-08-01,Barranquilla,4,80,historico,80693781.0
